rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,success_count,success_percentage,flip_count,flip_percentage,timeout_count,timeout_percentage
179,140,10.1124,0.4997843843643056,5.434224115717643,10.868448231435286,100.0,20,20,100.0,,,,
180,189,10.034949999999998,0.49933028066540003,5.436357911876984,10.872715823753968,100.0,20,20,100.0,,,,
181,269,9.999999999999998,0.5,5.901425147302152,11.802850294604305,100.0,20,20,100.0,,,,
182,83,9.9697,0.5,6.336335244639439,12.672670489278879,100.0,20,20,100.0,,,,
183,296,9.963500000000002,0.5,5.658983101641883,11.317966203283765,100.0,20,20,100.0,,,,
184,249,9.96205,0.496222500221479,5.650332765621099,11.300665531242197,100.0,20,20,100.0,,,,
185,110,9.959099999999996,0.4910230785463351,5.821184435883535,11.64236887176707,100.0,20,20,100.0,,,,
186,153,9.958450000000003,0.5,5.81954252468705,11.6390850493741,100.0,20,20,100.0,,,,
187,251,9.95475,0.5,5.410374576200799,10.820749152401598,100.0,20,20,100.0,,,,
188,187,9.936850000000003,0.49956309864846943,5.470959503388642,10.941919006777283,100.0,20,20,100.0,,,,
189,64,9.928750000000003,0.5,5.521054137894256,11.042108275788513,100.0,20,20,100.0,,,,
190,86,9.8854,0.46785188635155395,5.411645301761513,10.823290603523025,95.0,20,19,95.0,1.0,5.0,,
191,166,9.877700000000003,0.49098966246524534,5.161804972498914,10.323609944997829,100.0,20,20,100.0,,,,
192,96,9.830149999999998,0.5,5.5224509328938876,11.044901865787775,100.0,20,20,100.0,,,,
193,141,9.828149999999999,0.5,5.607817152322568,11.215634304645135,100.0,20,20,100.0,,,,
194,37,9.817650000000002,0.5,5.685417485510585,11.37083497102117,100.0,20,20,100.0,,,,
195,102,9.801200000000001,0.493822107876734,5.313481053601992,10.626962107203983,100.0,20,20,100.0,,,,
196,178,9.739950000000002,0.5,5.440087673922177,10.880175347844354,100.0,20,20,100.0,,,,
197,134,9.736450000000001,0.5,5.403158098539661,10.806316197079322,100.0,20,20,100.0,,,,
198,149,9.72935,0.5,6.199818355753126,12.399636711506252,100.0,20,20,100.0,,,,
199,172,9.697149999999997,0.5,5.354709637270391,10.709419274540782,100.0,20,20,100.0,,,,
200,142,9.69305,0.5,5.544723504353568,11.089447008707136,100.0,20,20,100.0,,,,
201,160,9.689799999999998,0.5,5.631060482050198,11.262120964100395,100.0,20,20,100.0,,,,
202,133,9.68535,0.475,5.389874372380335,10.77974874476067,95.0,20,19,95.0,1.0,5.0,,
203,231,9.664549999999998,0.5,5.843135561291972,11.686271122583944,100.0,20,20,100.0,,,,
204,218,9.588000000000005,0.49428147611959583,5.588543038503654,11.177086077007308,100.0,20,20,100.0,,,,
205,76,9.5666,0.4994361159546427,5.367637230596808,10.735274461193615,100.0,20,20,100.0,,,,
206,152,9.5253,0.44390844334870383,5.661944276335883,11.323888552671766,90.0,20,18,90.0,2.0,10.0,,
207,81,9.31325,0.5,5.239456485122355,10.47891297024471,100.0,20,20,100.0,,,,
208,60,9.275649999999999,0.5,5.468868094606092,10.937736189212185,100.0,20,20,100.0,,,,
209,198,9.2747,0.49151324577361527,5.65182349847758,11.30364699695516,100.0,20,20,100.0,,,,
210,89,9.2565,0.4898212514185757,5.617254287640188,11.234508575280376,100.0,20,20,100.0,,,,
211,13,9.207599999999998,0.5,6.388582799681019,12.777165599362037,100.0,20,20,100.0,,,,
212,44,9.116499999999997,0.4873352660356707,6.011381765221367,12.022763530442734,100.0,20,20,100.0,,,,
213,257,9.026749999999998,0.5,6.118386897139427,12.236773794278854,100.0,20,20,100.0,,,,
214,73,8.887349999999998,0.5,5.731985462631739,11.463970925263478,100.0,20,20,100.0,,,,
215,10,8.840450000000002,0.5,5.557762742091083,11.115525484182166,100.0,20,20,100.0,,,,
216,147,8.838300000000002,0.49476382456074486,5.562330784376028,11.124661568752057,100.0,20,20,100.0,,,,
217,11,8.778699999999999,0.5,5.860830147104963,11.721660294209926,100.0,20,20,100.0,,,,
218,202,8.73515,0.4986447958129814,5.219482156090007,10.438964312180014,100.0,20,20,100.0,,,,
219,50,8.566050000000002,0.5,6.144355944046209,12.288711888092418,100.0,20,20,100.0,,,,
220,131,8.5496,0.5,6.549082424465057,13.098164848930114,100.0,20,20,100.0,,,,
221,12,8.480400000000001,0.5,5.868034211469574,11.736068422939148,100.0,20,20,100.0,,,,
222,22,8.45815,0.5,5.8613750058168055,11.722750011633611,100.0,20,20,100.0,,,,
223,6,8.4541,0.5,6.250332765621097,12.500665531242195,100.0,20,20,100.0,,,,
224,155,8.447500000000002,0.5,5.377559429765651,10.755118859531303,100.0,20,20,100.0,,,,
225,74,8.438800000000002,0.5,6.205315748043385,12.41063149608677,100.0,20,20,100.0,,,,
226,34,8.438450000000001,0.5,5.48363797721612,10.96727595443224,100.0,20,20,100.0,,,,
227,247,8.412949999999999,0.5,6.008758120204048,12.017516240408096,100.0,20,20,100.0,,,,
