rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,success_count,success_percentage,flip_count,flip_percentage,timeout_count,timeout_percentage
154,205,10.10905,0.5,5.547776616168179,11.095553232336359,100.0,20,20,100.0,,,,
155,50,10.102850000000002,0.49226427632494013,6.144355944046209,12.288711888092418,100.0,20,20,100.0,,,,
156,48,10.096499999999999,0.5,5.62000906088498,11.24001812176996,100.0,20,20,100.0,,,,
157,258,10.090149999999998,0.5,6.77694605364816,13.55389210729632,100.0,20,20,100.0,,,,
158,269,10.089400000000001,0.4946937367259633,5.901425147302152,11.802850294604305,100.0,20,20,100.0,,,,
159,237,10.060950000000002,0.5,5.684875091065381,11.369750182130762,100.0,20,20,100.0,,,,
160,286,10.01135,0.5,6.482610340277941,12.965220680555882,100.0,20,20,100.0,,,,
161,113,9.99,0.5,5.697754014944878,11.395508029889756,100.0,20,20,100.0,,,,
162,201,9.971350000000001,0.5,6.748828036671204,13.497656073342409,100.0,20,20,100.0,,,,
163,177,9.964750000000004,0.5,6.631985462631741,13.263970925263482,100.0,20,20,100.0,,,,
164,200,9.957399999999996,0.5,5.340851637762162,10.681703275524324,100.0,20,20,100.0,,,,
165,174,9.900350000000003,0.5,5.348242541844836,10.696485083689671,100.0,20,20,100.0,,,,
166,170,9.897599999999999,0.49534798027043647,6.074686029936119,12.149372059872238,100.0,20,20,100.0,,,,
167,261,9.883999999999997,0.47335642102155323,5.2657850501079375,10.531570100215875,95.0,20,19,95.0,1.0,5.0,,
168,38,9.859050000000002,0.5,5.932949352028734,11.865898704057468,100.0,20,20,100.0,,,,
169,45,9.857699999999998,0.49303637081843305,5.946591458837402,11.893182917674803,100.0,20,20,100.0,,,,
170,189,9.8391,0.5,5.436357911876984,10.872715823753968,100.0,20,20,100.0,,,,
171,160,9.827950000000001,0.499626346899546,5.631060482050198,11.262120964100395,100.0,20,20,100.0,,,,
172,150,9.827449999999999,0.49971043135102794,5.44944562479517,10.89889124959034,100.0,20,20,100.0,,,,
173,169,9.797450000000001,0.4999318618815307,5.486006888412033,10.972013776824067,100.0,20,20,100.0,,,,
174,249,9.7798,0.5,5.650332765621099,11.300665531242197,100.0,20,20,100.0,,,,
175,102,9.766500000000002,0.48922161836518924,5.313481053601992,10.626962107203983,100.0,20,20,100.0,,,,
176,64,9.75955,0.5,5.521054137894256,11.042108275788513,100.0,20,20,100.0,,,,
177,106,9.7255,0.49246923155995476,5.6310321010358155,11.262064202071631,100.0,20,20,100.0,,,,
178,133,9.718050000000003,0.490415497003719,5.389874372380335,10.77974874476067,100.0,20,20,100.0,,,,
